"","WARD","COUNTY","STATUS","TYPE"
"13649","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13650","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13651","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13652","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13653","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13654","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13655","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13656","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13657","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13658","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13659","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13660","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13661","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13662","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13663","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13664","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13665","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13666","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13667","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13668","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13669","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13670","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13671","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13672","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13673","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13674","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13675","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13676","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13677","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13678","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13679","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13680","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13681","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13682","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13683","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13684","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13685","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13686","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13687","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13688","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13689","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13690","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13691","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13692","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13693","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13694","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13695","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13696","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13697","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13698","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13699","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13700","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13701","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13702","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13703","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13704","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13705","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13706","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13707","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13708","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13709","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13710","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13711","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13712","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13713","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13714","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13715","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13716","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13717","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13718","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13719","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13720","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13721","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13722","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13723","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13724","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13725","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13726","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13727","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13728","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13729","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13730","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13731","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13732","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13733","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13734","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13735","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13736","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13737","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13738","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13739","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13740","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13741","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13742","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13743","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13744","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13745","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13746","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13747","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13748","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13749","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13750","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13751","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13752","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13753","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13754","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13755","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13756","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13757","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13758","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13759","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13760","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13761","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13762","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13763","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13764","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13765","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13766","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13767","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13768","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13769","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13770","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13771","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13772","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13773","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13774","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13775","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13776","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13777","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13778","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13779","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13780","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13781","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13782","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13783","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13784","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13785","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13786","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13787","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13788","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13789","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13790","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13791","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13792","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13793","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13794","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13795","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13796","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13797","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13798","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13799","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13800","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13801","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13802","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13803","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13804","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13805","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13806","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13807","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13808","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13809","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13810","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13811","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13812","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13813","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13814","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13815","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13816","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13817","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13818","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13819","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13820","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13821","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13822","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13823","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13824","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13825","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13826","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13827","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13828","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13829","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"13830","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13831","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13832","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13833","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13834","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13835","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13836","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13837","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13838","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13839","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13840","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13841","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13842","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"13843","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13844","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13845","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13846","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13847","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13848","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13849","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13850","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13851","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13852","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13853","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13854","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13855","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13856","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13857","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"13858","MITUNGUU","MERU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14330","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14331","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14332","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"14333","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14334","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14335","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14336","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14337","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14338","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14339","IGAMBANG'OMBE","THARAKA NITHI COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14707","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14708","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14709","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14710","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"14711","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14712","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14713","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14714","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14715","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14716","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14717","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14718","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14719","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14720","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14721","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14722","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14723","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14724","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14725","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14726","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14727","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14728","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14729","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14730","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"14731","MAGUMONI","THARAKA NITHI COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
